Restaurant,Review,Label,Stars,Date
The Black Swan,"Coming up in December, the Happy Hour Menu will be replaced with a $2 menu for oysters, and $11 for selected beer, wine and house-pours.",1,5,2016-02-16T00:00:00
Melt CafÃ©,"I would have to say for the price I'm paying for, Melt is really worth a try if you want to go for a great buffet feast.",1,4,2012-08-31T00:00:00
æºè§é»å¿ Mongkok Dim Sum,"Good selection of dishes including entrees, dim sum, desserts, drinks and teas.",1,4,2014-03-05T00:00:00
Palm Beach Seafood,"The price was also pretty expensive, which is to be expected.",1,3,2013-12-24T00:00:00
Taste Paradise,Not overpriced or overrated.3.,1,5,2015-02-04T00:00:00
Little Vietnam Restaurant & Cafe,It looked like a lot but I easily polished off the bowl and probably could have done with more rice noodles and broth.,1,4,2017-02-21T00:00:00
Mr and Mrs Mohgan's Super Crispy Roti Prata,A totally cheap and yummy breakfast for less than $1 for a kosong prata.,1,4,2012-10-11T00:00:00
Din Tai Fung,We even got a free dish of fried duck spring rolls because we were among the restaurant's last diners of the day.,1,4,2015-11-10T00:00:00
Din Tai Fung,Top 10 restaurant in the world at under $20/person?,1,5,2013-10-31T00:00:00
Ippudo,They are pretty steep - though their food is yummmy.,1,3,2012-07-16T00:00:00
Sin Heng Kee Porridge,It's cheap and delicious.,1,5,2017-11-04T00:00:00
Chuan Kee Boneless Braised Duck,Taste:The duck meat is tender and flavorful.,1,5,2017-06-11T00:00:00
Old Airport Road Food Centre,"With endless options such as prawn noodle, wonton noodles, fish balls, fresh juice, curry puffs, rojak, kopi and kaya toast available; this center is where food dreams are form.",5,5,2018-04-16T00:00:00
Spize,"If you order hot water and cold water will be charge $0.60, ok?""",1,4,2017-04-30T00:00:00
Jaan,"The food though, for what we paid I was expecting each and every item to knock my socks off.",1,2,2018-01-10T00:00:00
Spago By Wolfgang Puck,"Just to illustrate how much expensive the menu is, two small orders of a granita type dessert cost more than our four lunch and dinner combined.",1,4,2018-01-10T00:00:00
Jumbo Seafood,"I just wish they were a little bigger because you can eat one in 2 bites.Noodles - I don't remember the name on the menu, but these noodles were super yummy.",1,4,2018-05-04T00:00:00
Bistro Du Vin,Take a mini trip to Paris and stuff your belly with 3 courses of incredibly well executed bistro fare for only $32++?,1,5,2016-01-11T00:00:00
Beauty in the Pot,"I personally think for th price we payed this should have been included.Coming from Vancouver where we have a plethora of hot pots, this one did stand out a little with the collagen broth.",1,4,2020-02-24T00:00:00
Supertree by Indochine,"To begin with, there's too much light inside, so most of what we could see through the glass was a reflection of what was happening behind us.",1,3,2016-11-14T00:00:00
Waku Ghin,"It is expensive and reservations are hard to come by, but its worth it.",1,5,2013-01-21T00:00:00
Allauddin's Briyani,Take them up on it.All the drink stands (there are many) are essentially the same and charge the same amount for the same twenty or thirty drinks.,1,5,2017-06-05T00:00:00
Waku Ghin,The experience is without a doubt very expensive but the 10 course degustation meal was hands down among my favorite of all time.,1,5,2016-07-20T00:00:00
Katanashi,"I like the sashimi salad as well, for $8.70, I think the portion and quality of fish is pretty good.",1,4,2014-11-09T00:00:00
Amaravati,The thaalis are great and portions huge.,1,4,2018-07-08T00:00:00
Liao Fan Hawker Chan,Amazing chicken and soy sauce rice at a great price.,1,5,2017-10-29T00:00:00
CafÃ© Iguana,"Which is too bad, but it works out to be the most economical item on the menu for me, price- and food-wise.",1,4,2013-05-07T00:00:00
Warong Nasi Pariaman,"The prices are moderate, not the cheapest option for nasi padang but I guarantee it's worth the trip.",1,4,2012-07-28T00:00:00
Rang Mahal,A fine dining experience; one of the priciest Indian restaurants I have been to.,1,5,2014-04-13T00:00:00
Nanjing Restaurant,There is a good tomato flavor that shines through.,2,5,2019-11-26T00:00:00
The Peranakan,There was none of the usual bitterness while retaining the distinct bitter gourd's taste and shape.,2,4,2017-05-11T00:00:00
Tai Hwa Pork Noodle,"The pork is cooked to perfection, tender and juicy!",2,4,2017-10-16T00:00:00
Kazu Sumiyaki,This place be delicious.,2,4,2017-05-10T00:00:00
Nan Hwa Chong Fish-Head Steamboat Corner,"The snacks are also local, stand out from the Hawcker Centres.",2,5,2014-08-25T00:00:00
Burnt Ends,Savour every last bit of the sauce.,2,5,2016-06-29T00:00:00
Song Fa Bak Kut Teh,"We ordered some vegetables for the table, bowl of rice and some other side dishes but honestly the pork rib soup the star of the entire place.",2,4,2018-03-30T00:00:00
Bistro Du Vin,"We ordered foie gras, scallops, escargots and their special gravlax.",2,4,2014-01-09T00:00:00
Kaiseki Yoshiyuki,"Dessert was a wafer like ice cream and as a birthday treat, Japanese fruits and a Sakura mochi were presented.",2,4,2017-04-12T00:00:00
Clinton Street Baking Company & Restaurant,Each component from the just cooked spinach to the creamy hollandaise sauce to the rich crab cake was just plain delicious.,2,4,2015-10-15T00:00:00
Palm Beach Seafood,"The crab and fried rice, countered by the fresh seasoned greens was excellent.",2,4,2016-05-21T00:00:00
Ki-sho,"!twiddling thumbs.then the charcoal grilled lobster with suntory yamazaki flavour was presented.this is super atas ""drunken prawns"" very well executed!after wolfing down the morsels of this crustacean monster you cant help wanting to lick the empty shells still soaked with jus de homard.fifth course?are we there yet?how do people drive home from such events?do you just swirl, sniff, sip and spit?sorry wrong alcohol.hibiki 12 yo was next.check yelp mobile..........the steamed kinki and scallop was a mere bite size but packed a culinary punch!simple steaming but steam sia!around this time, the GM of suntory whisky, hiroyoshi miyamoto made his rounds.and we politely oblige by saying the yamazaki 12yo was really nice with a peach, persimmon, orange aroma.next.the sixth course.the yamazaki 18yo.and the charcoal grilled hida wagyu with hibiki flavour.sweet caroline!no comparison other than awesome.chef kazuhiro hamamoto really brings his food to life.the seventh course.at this stage, our eyes were already in slumber mode and the glasses of unfinished whisky crowded out the table.what is our exit strategy?how am i going for my karaoke date?put your hands together and welcome hibiki 17yo!food please!",2,4,2013-05-30T00:00:00
Song Fa Bak Kut Teh,The pork rib was soft and the soup was peppery.,2,4,2014-03-16T00:00:00
Komala Vilas Restaurant,The vada however was excellent.,2,3,2015-06-03T00:00:00
Majestic Bay,Awesome dim sum.,2,4,2014-12-13T00:00:00
Plain Vanilla Bakery,"These are one of the best, if not the best cupcakes in Singapore.",2,5,2013-11-24T00:00:00
Sungei Road Laksa,"That being said, I easily could have had another bowl.For me, Sungei Road Laksa was a delicious introduction to laksa (first time trying it!).",2,4,2019-02-17T00:00:00
Rhubarb Le Restaurant,"As petit fours are served with coffee, I opted for a cheese plate for dessert, which was perfect.",2,5,2017-08-07T00:00:00
Founder Bak Kut Teh,The taste remains just like when I was a little girl.,2,4,2013-01-07T00:00:00
328 Katong Laksa,"The otah, a type of fish cake, was real good, especially if you add some of that sauce that came with your laksa.After pondering long and hard, the laksa was actually really good and is one of the better bowls I've had in Singapore, but I don't think I would take a 20-30 min bus ride all the way out here to satisfy my laksa craving.",2,4,2016-02-23T00:00:00
Boon Tong Kee,The chicken just melted in my mouth.The pork knuckle had very tender meat on it.,2,5,2020-01-22T00:00:00
Komala Vilas Restaurant,"the mango milkshake was pure divinity, i didn't know whether to drink it or put a ring on the straw and slide my dick into its creamy depths.",2,5,2013-10-27T00:00:00
A Noodle Story,"For me, this Ramen tasted like your typical wonton noodles with a lot of add-ons.",2,4,2017-08-28T00:00:00
Tong Ah Eating House,"That said, the kopi-C was probably the best I had while I was in Singapore.",2,3,2017-10-12T00:00:00
Indocafe The White House,"The food is cooked perfectly well, the spices complement each dish with no jarring effect.",2,4,2015-04-22T00:00:00
Burger Joint,"The feeling hasn't changed, but the beers have gotten better.",2,5,2017-07-07T00:00:00
The Song of India,"There was a good spread of curries, vegetable dishes, biryani and rice, but they all lacked any real flavor.",2,3,2017-04-30T00:00:00
Blue Ginger,"Renovation is simple, and so are the dishes, they have a feeling of home-cooked fare to them - unpretentious, not fancy but delicious, definitely a day-to-day staple.",2,3,2015-12-03T00:00:00
Din Tai Fung,"Odd to admit this, but this Din Tai Fung location was yummier than my local joint here in arcadial.",2,5,2013-08-14T00:00:00
Crystal Jade Golden Palace,"Some places use filler in the shrimp dumplings, but didn't seem like they used any here so the shrimp did fall apart easily.",2,5,2019-03-13T00:00:00
Ippudo,"I was surprised to see an Ippudo Ramen Express at Asia Square Food Garden but yes, finally a ramen that is true to its convenience root.",2,4,2014-01-23T00:00:00
Beirut Grill,"but odd in that there was some extra spice in it that I haven't tasted of before).Pita bread was awesome, warm and puffy.",2,4,2012-11-11T00:00:00
Ya Kun Kaya Toast,But the real star for me was the Kopi O- delicious strong black coffee that is brewed using a slow drip method.,2,5,2014-07-13T00:00:00
Saveur,"Crispy skin, lovely mash.",2,4,2012-07-27T00:00:00
The Original Katong Laksa,This stall's soup and noodles are great and one of a kind in Katong.,2,4,2016-07-04T00:00:00
Penang Place,"Please just go out and try it before slinging arrows, poorly done char kway teow or Wendy's burgers at me.",2,5,2013-03-18T00:00:00
DB Bistro Moderne,"Plus the fries that come with it are delicious too.Okay, now I am having a burger craving again hahahaha",2,4,2012-12-16T00:00:00
Blanco Court Prawn Mee,By far one of the best meals I've had in Singapore.,2,5,2019-06-09T00:00:00
Old Long House Popiah,"Dosent seem to use much lard / oil, but the taste just works.",2,4,2015-07-11T00:00:00
Latteria Mozzarella Bar,"Definitely recommend sticking to the mozzarella entrees, especially the smoked options and the exemplary Stracciatella and Burratina.",2,4,2016-07-27T00:00:00
Cafe Melba,I enjoyed the food selection (had eggs florentine that was tasty.,2,5,2015-11-28T00:00:00
Sawadee Thai Cuisine,"I have to admit, they're not THE best Thai food you'll find in sg but they are decently quite good.",2,4,2014-11-16T00:00:00
Din Tai Fung,"the dough is not too thick or too thin, the meat is a perfect flavour, and the dumplings are steamed to perfection!",2,5,2015-12-17T00:00:00
FYR Cycene Ond Drinc,"This was nice, fish had a really nice crispy skin on it.",2,3,2015-11-02T00:00:00
Satay By The Bay,"You can even try unique foods, like stingray and the hundred year old eggs, or classic Singaporean desserts or juices, such as chendol or Bandung!!!!",2,5,2019-11-16T00:00:00
StraitsKitchen,"Their buffet was fairly extensive including but not limited to Chinese, Indian, and Western options including an egg station, meats, fruits, pastries/breads and more.",2,4,2014-07-28T00:00:00
Ramen Keisuke Tori King,The Green Tea Cola tasted a bit like Sprite.,2,5,2013-12-12T00:00:00
Ah Tai Hainanese Chicken Rice,Ah Tai Chicken Rice is awesome.,2,4,2015-08-26T00:00:00
Ming Chung Restaurant,"Besides the clams that comes with the main dishes, everyone's table has a side order of Clams in a rich gravy that is pretty spicy.",2,4,2013-03-12T00:00:00
Long Beach King Seafood,Don't try chili crab at a Hawker Centre; go to this place that specializes in chili crab...,2,5,2014-09-03T00:00:00
Tonkatsu Ma Maison,I'd return just for the katsu and the delicious rice!,2,3,2017-06-25T00:00:00
Liao Fan Hawker Chan,"I feel that most of the soya sauce chickens at home were mostly salty, and one dimensional.",2,5,2019-11-26T00:00:00
Majestic Bay,Flawless skin come to me now!Highlight of the night and undoubtedly the favorite dish.,2,4,2013-03-22T00:00:00
PS Cafe,"It is very consistent and they make a mean burger for those who enjoy burgers.This spot is very low key and on the smaller side, but you have the option of sitting indoor or out.",2,4,2018-08-12T00:00:00
FYR Cycene Ond Drinc,"Pretty good, but only 5 tablespoons worth of food, the Beef steak, which, to me looked and tasted like hawker quality, over peppered, and dry, and my lobster, which, when I asked was told was 250gms of meat.It was a Crayfish, with barely 70gms of meat!The crawfish originally had tons of cheese on it, presumably to mask the bland tase of the dish, and when arrived, I told them, (also beforehand) I was allergic to dairy and carbs.",2,2,2015-05-05T00:00:00
Binomio,"it wasn't the strongest tasting dish, and was much improved with lots and lots of ground pepper and salt.don't ever be shy about salting your own food!",2,4,2015-04-14T00:00:00
JB Ah Meng,"The clams, omg wow.",2,5,2019-02-23T00:00:00
Annalakshmi,Lovely homemade Indian food!,2,5,2016-06-25T00:00:00
Lei Garden,"I found me 3 girlfriends who share the same passion for steamed dumplings and we've been on a mission since.Our ratings are based on:1) Overall Yumminess (one shouldn't be trekking to a dim sum spot for any one particular dish)2) Ambiance3) ServiceHaving previously lived in HK, Lei Garden has been on the radar so we finally booked last Saturday:Definitely amongst the better har gows and siu mais in town.",2,4,2014-01-13T00:00:00
Ippudo,"The pork was normal, nothing special.",2,3,2013-07-30T00:00:00
Two Men Bagel House,This place just changed my life with only one bagel!!,2,5,2015-08-30T00:00:00
Khansama Tandoori,"Lol, I especially enjoyed my two selections.",2,4,2013-01-18T00:00:00
Shisen Hanten,The food is so-so.,2,3,2016-03-13T00:00:00
Bread Street Kitchen,Well cooked.,2,3,2015-12-30T00:00:00
Spize,"I would say the out-of-the-wok dishes like kway teow goreng, mee goreng etc are pretty good but the prata not so.",2,3,2012-09-02T00:00:00
Alaturka,"The portion was just too large, and it didn't taste particularly special.",2,3,2012-10-07T00:00:00
Tolido's Espresso Nook,"Well, the drink grows on you I guess as I felt quite satisfied after I finished my cup.Absolutely love the fact that its a closely-knit family-run business.",2,5,2013-12-05T00:00:00
Red House,Did not like the crunchy baby squid appetizer.,2,3,2015-02-12T00:00:00
Tolido's Espresso Nook,Best spiced chai latte ever!,2,5,2015-09-10T00:00:00
Magurodonya Miuramisakikou Sushi,The restaurant specializes in tuna (magur.),2,5,2015-09-27T00:00:00
Jumbo Seafood,"i love the razor clams dish, but they were out the time i came here.drunken prawns are also excellent.",2,4,2014-01-03T00:00:00
Jian Bo Shui Kueh,"However, the topping is amazingly delicious.",2,5,2018-03-17T00:00:00
Ah Tai Hainanese Chicken Rice,"Honestly didn't bother to try the soy sauce looking sauce since I liked the chili sauce so much.Liked this place so much, think I'm going to try to for another visit to this place before I leave Singapore in the next few days!",2,5,2018-04-05T00:00:00
Employees Only,Comes with a frisse which was really really good.Kale - side.,2,2,2017-06-11T00:00:00
Hai Di Lao,"The food was good - the Mala chili soup was spicy without it being too tongue numbing, and I would definitely recommend trying their handmade lamian.",2,3,2016-01-06T00:00:00
Gyoza-Ya,The gyoza was really tasty!,2,5,2017-07-15T00:00:00
Meta Restaurant,The first snack and nice opener to the meal.2) Mushroom tart was really interesting.,2,5,2019-11-25T00:00:00
DB Bistro Moderne,"The French Onion Soup was very good, though quite pricey, but definitely the best french onion soup I ever had, unfortunately though that wasn't what I really wanted.",2,3,2013-03-30T00:00:00
Allauddin's Briyani,"Maybe I'm used to a different iteration of biryani that combines complicated spices and flavors, but this was... really just mildly seasoned rice with a piece of bony and gritty chicken plopped on top.",2,2,2019-12-21T00:00:00
Colony,Alaskan king crab and the oysters are to die for!,2,5,2017-07-06T00:00:00
Samy's Curry,Fish patties and lovely fish curry sauce.,2,3,2016-11-04T00:00:00
Esquina,"Combination of the char from roasting the cauliflower with the couscous and the creamy sauce is a home run.Grilled Octopus - good, but in comparison to the other dishes, lacked flavorRibeye - great flavor, perfectly cookedPigeon - must order - cooked to perfect,very flavorful, could eat several orders of this",2,5,2017-06-10T00:00:00
Lei Garden,Yummy winter melon soup(not on the menu)!,2,5,2019-02-19T00:00:00
Gayatri Restaurant,"After a few bites of the Biryani rice, I am utterly disappointed with my order of Biryani.",2,3,2019-07-31T00:00:00
Arnold's Fried Chicken,This was accentuated more by the sweet hot sauce they provide.,2,4,2013-07-07T00:00:00
Violet Oon Satay & Grill,It may seems a bit oily but best of all its not cloying at all.Chap Chye - $15Choose between Nasi Lemak Rice and Jasmine Rice.,2,4,2017-05-22T00:00:00
Tsui Wah,Noodles were springy.,2,5,2018-07-01T00:00:00
Tiong Bahru Bakery,Coffee is good.,2,4,2013-11-22T00:00:00
Char Restaurant,"In addition to the meat to fat ratio being just right, I was really impressed with the crispy crust they were able to get on the roasted pork...",2,5,2016-07-28T00:00:00
Jumbo Seafood,"It also came with deliciously, light and pillowy sweet (again) buns a.k.a man tou, to sop up the sauce.",2,3,2019-05-19T00:00:00
Ponggol Nasi Lemak,Juicy and crispy- matched with creamy heat- wow.,2,5,2017-07-21T00:00:00
Bakalaki Greek Taverna,"Overall, I'm glad she did, the food was surprisingly fresh.",2,5,2019-09-03T00:00:00
Jumbo Seafood,"I haven't tried it anywhere else, so I can't say if it's the best one out there, but it's certainly delicious!",2,5,2012-09-30T00:00:00
Victor's Kitchen,"I had a quick lunch here today, pleasantly surprised to discover the chinatown point branch, after having eaten at sunshine plaza a few times.I had the liu sha bao, which was warm, gooey, sweet and salty at the same time.",2,4,2016-05-22T00:00:00
Tai Hwa Pork Noodle,Yummy!,2,4,2016-09-30T00:00:00
Sawadee Thai Cuisine,Crab curry is killer.,2,4,2019-10-26T00:00:00
Din Tai Fung,"I had the veggie dumplings and bun, and it was amazing.",2,5,2014-11-30T00:00:00
Red House,The seafood fried rice was a flavorful side and so were the small dinner rolls that were almost sweet and also a perfect side with all of the seafood we ate.,2,4,2016-01-21T00:00:00
Din Tai Fung,Very Good!Dumplings: Loved the Pork.,2,4,2013-09-02T00:00:00
Liao Fan Hawker Chan,P.S I also enjoyed the pickled chili peppers from the condiments section.,2,5,2017-10-20T00:00:00
Chui Huay Lim Teochew Cusine,"We also ordered other signature Teochew dishes, shrimp ball () and liver roll (), and the latter was surprisingly very tasty!",2,4,2017-03-11T00:00:00
Pollen,Adored the arancini with the creamy risotto style rice.Our starters:The Mosaic of foie gras and confit duck with cherries and tangy apple puree ($40) was quite different from the usual that is served with berries compote.,2,4,2013-06-16T00:00:00
Char Restaurant,Juicy fatty meat covered in a delicious sweet gravy.,2,4,2016-03-10T00:00:00
Wee Nam Kee Hainanese Chicken Rice,Their chicken is one of the best I had.,2,5,2016-06-24T00:00:00
Silk Road,The beef in chili oil was tender and not over spicey.,2,5,2016-12-10T00:00:00
CafÃ© Iguana,Only down side a bit too hot spice wise!,2,5,2017-04-20T00:00:00
Old Chengdu Sichuan Cuisine,"This is one of the two Szechuan cuisine places I will go to satisfy my craving for numbing spicy Szechuan food, the other being Si Wei Mao Cai.These two places serve pretty authentic Szechuan food and the portion is pretty generous, hence the higher price per serving.For this place, I usually get the chicken with chillis and a spicy bullfrog dish.",2,4,2016-01-16T00:00:00
Crab Song,Delish on top of white rice.,2,3,2016-04-11T00:00:00
Arnold's Fried Chicken,"The skin was crisp perfection, crunching as I bit into each piece.The side dishes of coleslaw, fries and mashed potato weren't great and very forgettable.",2,5,2012-07-29T00:00:00
Flutes,Not too sweet and very deep fig flavor flamed with grand marnier.,2,4,2013-10-19T00:00:00
CafÃ© Iguana,The buffalo wings were reportedly sweet instead of spicy.,2,4,2016-03-04T00:00:00
Long Beach King Seafood,The sauce has a black pepper kick but just the right amount.,2,5,2018-02-28T00:00:00
Arunachala Bhavan,One of the only restaurant in singapore that serves good south Indian and North Indian food.,2,4,2018-02-15T00:00:00
Bee Cheng Hiang - New Bridge Road,"Irresistible, mouth-watering BBQ meat-jerky!",2,4,2016-07-31T00:00:00
DB Bistro Moderne,"And for the dessert, my favorite is the profiteroles with a chocolate disk that melts when they pour the extra chocolate sauce.",2,5,2014-09-20T00:00:00
Dehesa,5/5- octopus topped with lardo: the lardo was thinly sliced and flame torched.,2,5,2017-06-17T00:00:00
Maison Ikkoku Restaurant & Bar,I could taste the pumpkin though the cheese and the nutty crust.,2,4,2012-08-22T00:00:00
Gokul Vegetarian Restaurant and Cafe,Mutton was very realistic... and that Chicken Tikka!!!!!!,2,5,2016-06-30T00:00:00
Candlenut,"Executed well- Crab Curry - tastes like Thai food to me but nonetheless a terrific dish - very flavorful - the citrus taste is quite strong, which helps balance out the rich which can be quite rich- Buah Keluak fried rice - a bit bitter though I guess that's how it's supposed to be.",2,4,2018-10-13T00:00:00
Curious Palette,Pina Colada Tea $7.50,1,3,2016-01-21T00:00:00
Curious Palette,"This was a very interesting tea, as it tasted very fruity and even without sugar, there was a hint of sweetness.",2,3,2016-01-21T00:00:00
Din Tai Fung,The XLB were perfect -- thin skin and plenty of soup.,2,5,2018-11-16T00:00:00
Kazu Sumiyaki,"The japanese tomato was sweet and yummy, and definitely try the fresh sashimi of the day.",2,5,2014-05-23T00:00:00
Braci,The chef is actually there and serves us himself many of the dishes.,5,5,2018-03-28T00:00:00
Braci,They also provided us a special Italian bread that they fly in every week from Italy,5,5,2018-03-28T00:00:00
Braci,Nice flavor but the sweetness is a bit much after the first bite.,2,5,2018-03-28T00:00:00
Wang Dae Bak Korean BBQ,"The soup was decent and hit the spot, but I do also wish it had a meatier/richer taste besides just kimchi/spiciness.",2,4,2016-07-26T00:00:00
The Sushi Bar,"The food however, was their saving grace.",2,3,2016-09-02T00:00:00
Margarita's Dempsey Hill,"Overall, food was good.",2,4,2015-08-10T00:00:00
Fatty Aunt Yong Tau Foo,"How wrong can you go with Yong Tau Foo?I like this place for their fried things - really nice and crisp, go especially for the Yong Tau Foo skin which retains its texture even in a bowl of hot noodles (so different from the one in the Kopitiam at my workplace).",2,4,2014-03-29T00:00:00
Zhen Zhen Porridge,Fresh fish and ginger strips further enhance the overall flavour of the porridge.,2,5,2012-08-08T00:00:00
Gram,The frapps are very refreshing and extremely flavourful!!!!,2,4,2019-11-16T00:00:00
Seow Choon Hua Restaurant,"Overall, the only things this lacked were the usual fried egg floss, which probably accounted for the less flavourful soup.",2,4,2017-06-15T00:00:00
MTR 1924,What I can tell you with confidence it that my colleague and I agreed that the coconut chutney was as authentic as it gets and as flavorful as one expects.,2,5,2019-11-22T00:00:00
Song Fa Bak Kut Teh,Tea based ribs soup is the specialty here and it's deliciously soaked in the savory broth.,2,4,2018-09-03T00:00:00
