,Restaurant,Review,Label,Stars,Date,Review_clean
57,Jumbo Seafood,"I just wish they were a little bigger because you can eat one in 2 bites.Noodles - I don't remember the name on the menu, but these noodles were super yummy.",1,4,2018-05-04T00:00:00,i just wish they were a little bigger because you can eat one in 2 bites noodles i don t remember the name on the menu but these noodles were super yummy
58,Bistro Du Vin,Take a mini trip to Paris and stuff your belly with 3 courses of incredibly well executed bistro fare for only $32++?,1,5,2016-01-11T00:00:00,take a mini trip to paris and stuff your belly with 3 courses of incredibly well executed bistro fare for only 32
59,Beauty in the Pot,"I personally think for th price we payed this should have been included.Coming from Vancouver where we have a plethora of hot pots, this one did stand out a little with the collagen broth.",1,4,2020-02-24T00:00:00,i personally think for th price we payed this should have been included coming from vancouver where we have a plethora of hot pots this one did stand out a little with the collagen broth
60,Supertree by Indochine,"To begin with, there's too much light inside, so most of what we could see through the glass was a reflection of what was happening behind us.",1,3,2016-11-14T00:00:00,to begin with there s too much light inside so most of what we could see through the glass was a reflection of what was happening behind us
61,Waku Ghin,"It is expensive and reservations are hard to come by, but its worth it.",1,5,2013-01-21T00:00:00,it is expensive and reservations are hard to come by but its worth it
62,Allauddin's Briyani,Take them up on it.All the drink stands (there are many) are essentially the same and charge the same amount for the same twenty or thirty drinks.,1,5,2017-06-05T00:00:00,take them up on it all the drink stands there are many are essentially the same and charge the same amount for the same twenty or thirty drinks
63,Waku Ghin,The experience is without a doubt very expensive but the 10 course degustation meal was hands down among my favorite of all time.,1,5,2016-07-20T00:00:00,the experience is without a doubt very expensive but the 10 course degustation meal was hands down among my favorite of all time
64,Katanashi,"I like the sashimi salad as well, for $8.70, I think the portion and quality of fish is pretty good.",1,4,2014-11-09T00:00:00,i like the sashimi salad as well for 8 70 i think the portion and quality of fish is pretty good
65,Amaravati,The thaalis are great and portions huge.,1,4,2018-07-08T00:00:00,the thaalis are great and portions huge
66,Liao Fan Hawker Chan,Amazing chicken and soy sauce rice at a great price.,1,5,2017-10-29T00:00:00,amazing chicken and soy sauce rice at a great price
67,CafÃÂ© Iguana,"Which is too bad, but it works out to be the most economical item on the menu for me, price- and food-wise.",1,4,2013-05-07T00:00:00,which is too bad but it works out to be the most economical item on the menu for me price and food wise
68,Warong Nasi Pariaman,"The prices are moderate, not the cheapest option for nasi padang but I guarantee it's worth the trip.",1,4,2012-07-28T00:00:00,the prices are moderate not the cheapest option for nasi padang but i guarantee it s worth the trip
69,Rang Mahal,A fine dining experience; one of the priciest Indian restaurants I have been to.,1,5,2014-04-13T00:00:00,a fine dining experience one of the priciest indian restaurants i have been to
70,Curious Palette,Pina Colada Tea $7.50,1,3,2016-01-21T00:00:00,pina colada tea 7 50
71,Ah Tai Hainanese Chicken Rice,All you need to know is their chicken rice set comes complete and for only $5!!,1,4,2015-04-30T00:00:00,all you need to know is their chicken rice set comes complete and for only 5
72,Bismillah Biryani,I've had better for cheaper.,1,2,2015-08-28T00:00:00,i ve had better for cheaper
73,Subarashii Grill & Bar,They have affordable donburi priced from $7 onwards.,1,5,2017-03-24T00:00:00,they have affordable donburi priced from 7 onwards
74,LAVO Italian Restaurant & Rooftop Bar,"At that price, it seemed like a better deal to have lunch on the 57th floor at LAVO.",1,3,2018-11-18T00:00:00,at that price it seemed like a better deal to have lunch on the 57th floor at lavo
75,timbre+,* They have an interesting system whereby you get a dollar back when you return your tray.,1,4,2016-04-11T00:00:00,they have an interesting system whereby you get a dollar back when you return your tray
76,Kuriya Dining,"For the price, I would say that it's not one of the very best Japanese places around, but the experience here was very good and the food itself was quite satisfying.",1,4,2013-05-11T00:00:00,for the price i would say that it s not one of the very best japanese places around but the experience here was very good and the food itself was quite satisfying
77,Sushi Kimura Singapore,"Dining at these establishments costs a fortune, so when you go, might as well splash out and opt for the most expensive omakase!",1,4,2018-09-29T00:00:00,dining at these establishments costs a fortune so when you go might as well splash out and opt for the most expensive omakase
78,Red House,Overpriced for what it was.,1,1,2017-09-14T00:00:00,overpriced for what it was
79,Symmetry,the price tag was just not justified by the portion served.,1,3,2016-06-11T00:00:00,the price tag was just not justified by the portion served
80,Liao Fan Hawker Chan,"The reason I chose to eat at the stall is because the prices are cheaper and the food is ""supposedly"" better.",1,4,2018-06-18T00:00:00,the reason i chose to eat at the stall is because the prices are cheaper and the food is supposedly better
81,Tatsuya,It was just $100 value but I've paid more than $300.,1,2,2014-08-19T00:00:00,it was just 100 value but i ve paid more than 300
82,Yamagawa Japanese Restaurant,Anyways this review is strictly about their teppanyaki menu only as we did not try anything else!I've been on the search to find reasonably priced but GOOD teppanyaki for the longest time.Anyways we went there on a Sunday evening at around 6-7pm.,1,2,2014-11-10T00:00:00,anyways this review is strictly about their teppanyaki menu only as we did not try anything else i ve been on the search to find reasonably priced but good teppanyaki for the longest time anyways we went there on a sunday evening at around 6 7pm
83,Luk Lu Eating House,"The stalwart Beach Road Mixed Curry Rice stall is great for consistently good, quick and cheap food, and even the Chuan Kee Duck Rice and Roasted Meat stall has its fans.",1,5,2012-08-16T00:00:00,the stalwart beach road mixed curry rice stall is great for consistently good quick and cheap food and even the chuan kee duck rice and roasted meat stall has its fans
84,Masa Steak & Hamburg,The chateaubriand was just 150 or 200 grams (can't remember) and it costs $200++.,1,4,2013-08-31T00:00:00,the chateaubriand was just 150 or 200 grams can t remember and it costs 200
85,Liao Fan Hawker Chan,Price in this place is unbeatable for the quality and quantity that you received.,1,4,2017-05-01T00:00:00,price in this place is unbeatable for the quality and quantity that you received
86,Sin Huat Seafood Restaurant,Be careful when ordering any of their fresh seafood because it's going to add up.,1,4,2019-02-23T00:00:00,be careful when ordering any of their fresh seafood because it s going to add up
87,Tatsuya,"So all in all, excellent sushi and service, lacklustre starters, pricey for the quality and amount you are getting.",1,4,2016-07-28T00:00:00,so all in all excellent sushi and service lacklustre starters pricey for the quality and amount you are getting
88,Vietnamese Stall - Sim Lim Square Food Court,The ham and bee hoon too little.,1,5,2019-03-22T00:00:00,the ham and bee hoon too little
89,Etna Italian Restaurant,"Another is the prices, which are high.",1,4,2014-04-29T00:00:00,another is the prices which are high
90,Mellben Seafood,"It was worth the 1 hour wait... With 4 drinks and 2 plates of fried mantou(each plate had 10 mantous) and a crab bee hoon, it cost us $144.",1,5,2014-08-19T00:00:00,it was worth the 1 hour wait with 4 drinks and 2 plates of fried mantou each plate had 10 mantous and a crab bee hoon it cost us 144
91,Harvest Seafood Restaurant,The Sri Lankan Crab was huge.,1,5,2015-06-27T00:00:00,the sri lankan crab was huge
92,Liao Fan Hawker Chan,All was good.Total price was $22 which is reasonable for the amount of food.,1,4,2017-02-23T00:00:00,all was good total price was 22 which is reasonable for the amount of food
93,Ah Tai Hainanese Chicken Rice,"Overall, Ah Tai Chicken Rice is worth the money and I will recommend to any one who likes to eat chicken rice in Singapore",1,4,2015-08-26T00:00:00,overall ah tai chicken rice is worth the money and i will recommend to any one who likes to eat chicken rice in singapore
94,Liao Fan Hawker Chan,"However, you will pay only 10 or 12 each person.",1,5,2019-12-26T00:00:00,however you will pay only 10 or 12 each person
95,Club55,"And with Singapore (especially the Marina Bay Sands area) being as pricey as it is, this buffet is an absolute steal.",1,4,2018-06-05T00:00:00,and with singapore especially the marina bay sands area being as pricey as it is this buffet is an absolute steal
96,Satay By The Bay,"All that food, stuffed to the gils, for about 50 SG$ for 3 hungry ladies.",1,4,2014-12-14T00:00:00,all that food stuffed to the gils for about 50 sg for 3 hungry ladies
97,Chapter 55," I read that they have a 1-for-1 pasta deal during weekday lunch time and that's a pretty good deal, I would totally take advantage of this if I work around Tiong Bahru.",1,4,2015-03-04T00:00:00,i read that they have a 1 for 1 pasta deal during weekday lunch time and that s a pretty good deal i would totally take advantage of this if i work around tiong bahru
98,The Tippling Club,The Tippling Club has delicious drinks that border on being over-priced,1,4,2015-12-17T00:00:00,the tippling club has delicious drinks that border on being over priced
99,Broadway Food Court,It filled me up and I felt really satisfied which is the most important aspect about having a meal.,1,4,2016-01-22T00:00:00,it filled me up and i felt really satisfied which is the most important aspect about having a meal
100,Long Beach Seafood,More than enough food for 4 people.,1,4,2013-01-18T00:00:00,more than enough food for 4 people
101,Happy Chef Western Foods,"At $9, I found the price steep initially but the portion was HUGE.",1,2,2013-08-11T00:00:00,at 9 i found the price steep initially but the portion was huge
102,Three Buns,the prices are not bad for singapore.,1,4,2019-11-14T00:00:00,the prices are not bad for singapore
103,Liao Fan Hawker Chan,"For the price, nothing can beat this delicious meal!",1,5,2018-06-14T00:00:00,for the price nothing can beat this delicious meal
104,Classic Lao Di Fang Vegetarian,The price is quite reasonable and the portion is decent.,1,4,2015-11-20T00:00:00,the price is quite reasonable and the portion is decent
105,Din Tai Fung,"Upon checking the bill, we were charged $1.00/person......not a huge deal, but at least ask the customer if it is wanted.",1,4,2016-11-22T00:00:00,upon checking the bill we were charged 1 00 person not a huge deal but at least ask the customer if it is wanted
106,Blue Ginger,With this menu I love trying new things i haven't each time though slightly pricey.,1,4,2016-01-02T00:00:00,with this menu i love trying new things i haven t each time though slightly pricey
107,Kebabs n Curries,The price was also pretty reasonable.,1,3,2013-07-08T00:00:00,the price was also pretty reasonable
108,Two Men Bagel House,"Pricing aside (hint, its abit expensive for bagels, but then again, everything around this area is priced on the higher end), the bagels were really fresh and delicious!",1,5,2015-06-05T00:00:00,pricing aside hint its abit expensive for bagels but then again everything around this area is priced on the higher end the bagels were really fresh and delicious
109,Curious Palette,"At the $20-30 range, this is likely to be Australian ""wagyu"" chuck though I would guess the cow is actually a mix breed, given the lack of fat and real flavor.",1,3,2016-03-07T00:00:00,at the 20 30 range this is likely to be australian wagyu chuck though i would guess the cow is actually a mix breed given the lack of fat and real flavor
110,LAVO Italian Restaurant & Rooftop Bar,"The Meatball was amazing,enough for 2 people, next time I go won't eat all day so I can try rest of menu.",1,5,2018-06-16T00:00:00,the meatball was amazing enough for 2 people next time i go won t eat all day so i can try rest of menu
111,Ruth's Chris Steak House,"This wad not hood value, and yes I know it's how F&B establishments make money.",1,3,2016-04-16T00:00:00,this wad not hood value and yes i know it s how f b establishments make money
112,A Noodle Story,"Some people complain about the lines and the high price for a ""hawker"" dish, but if you really consider the premium ingredients and time/effort taken to prepare every bowl, is $8 really too much?",1,5,2019-03-10T00:00:00,some people complain about the lines and the high price for a hawker dish but if you really consider the premium ingredients and time effort taken to prepare every bowl is 8 really too much
113,Arkadas Cafe,Expect to spend $20/pax.,1,3,2013-03-01T00:00:00,expect to spend 20 pax
114,Sin Huat Seafood Restaurant,"The local news had also covered this issue about pricing - you can be the judge for yourself by referring to this article that was published a few years ago (sg.news.yahoo.com/blogs/)All said, I am glad that I tried this place, and I am happier that I went in with a full knowledge of what to expect.",1,2,2013-03-06T00:00:00,the local news had also covered this issue about pricing you can be the judge for yourself by referring to this article that was published a few years ago sg news yahoo com blogs all said i am glad that i tried this place and i am happier that i went in with a full knowledge of what to expect
115,Sabai,Quite expensive for what we got (~$50/pax) but again guess you are paying for the atmosphere.,1,3,2018-09-11T00:00:00,quite expensive for what we got 50 pax but again guess you are paying for the atmosphere
116,Basilico,"Buffets have a tendency to disappoint, given that most buffets don't exactly land on the cheaper side of things.",1,5,2012-07-20T00:00:00,buffets have a tendency to disappoint given that most buffets don t exactly land on the cheaper side of things
117,10 at Claymore,And expensive tea (you know the kind where the bags are hand sewn and pyramid-shaped like five stones).,1,4,2014-10-02T00:00:00,and expensive tea you know the kind where the bags are hand sewn and pyramid shaped like five stones
118,Mrs Pho,"Of course, it was a damn sight better than the ridiculously overhyped, overrated and overpriced NamNam.",1,4,2016-02-27T00:00:00,of course it was a damn sight better than the ridiculously overhyped overrated and overpriced namnam
119,Pollen,The drinks are expensive: $7 for an iced latte.,1,2,2017-07-23T00:00:00,the drinks are expensive 7 for an iced latte
120,Les Amis,They only do set menus here so it is quite pricey for dinner but they have a more reasonably priced lunch menu (Saturdays included!,1,5,2014-05-13T00:00:00,they only do set menus here so it is quite pricey for dinner but they have a more reasonably priced lunch menu saturdays included
121,Vatos Urban Tacos,Prices are very reasonable for Singapoire - on average $10-12 for TWO tacos (not one).,1,5,2015-12-28T00:00:00,prices are very reasonable for singapoire on average 10 12 for two tacos not one
122,Ciao Italian Risto Bar,Prices were very reasonable especially for Singapore considering the amount of food you get.,1,4,2018-06-06T00:00:00,prices were very reasonable especially for singapore considering the amount of food you get
123,Crab Song,In a city that is sooooo expensive it is nice to have somewhere you can go with great food and a $5 beer!,1,5,2017-09-16T00:00:00,in a city that is sooooo expensive it is nice to have somewhere you can go with great food and a 5 beer
124,The Hangar,"Pork Yakitori ($15)For $15, I think this dish is overpriced, unlike the japanese yakitori, this did not taste like it had the yakitori sauce/teriyaki sauce on it.",1,4,2014-12-26T00:00:00,pork yakitori 15 for 15 i think this dish is overpriced unlike the japanese yakitori this did not taste like it had the yakitori sauce teriyaki sauce on it
125,Sungei Road Laksa,"The bowls are fairly small, so it's usually the case that I have to have two to fill myself up.",1,5,2016-04-30T00:00:00,the bowls are fairly small so it s usually the case that i have to have two to fill myself up
126,Nanbantei Japanese,The affordable and satisfying set lunches are what's worth coming back for.,1,4,2016-04-30T00:00:00,the affordable and satisfying set lunches are what s worth coming back for
127,Old Airport Road Food Centre,Highly recommended and very affordable.,1,4,2017-02-09T00:00:00,highly recommended and very affordable
128,Plain Vanilla Bakery,Over priced for what you get.,1,2,2016-10-28T00:00:00,over priced for what you get
129,timbre+,Dry and flavourlessGarons - reasonably priced French food,1,3,2016-05-07T00:00:00,dry and flavourlessgarons reasonably priced french food
130,Hai Di Lao,"Prices are on the higher end, but worth it especially in a group of 6 (it's the magic #).",1,4,2017-03-26T00:00:00,prices are on the higher end but worth it especially in a group of 6 it s the magic
131,Saveur,"With its great food at value prices, be prepared for a long wait, but totally worth it!",1,4,2015-04-01T00:00:00,with its great food at value prices be prepared for a long wait but totally worth it
132,Salt Grill & Sky Bar,"I'm sure you can get other dishes not quite as expensive as the steaks, but I think that is the main appeal of a nice place like this.",1,5,2019-01-14T00:00:00,i m sure you can get other dishes not quite as expensive as the steaks but i think that is the main appeal of a nice place like this
133,Palm Beach Seafood,If I paid $50 I would give it 5 stars but for one person it was incredibly overpriced and under eaten.,1,4,2020-01-18T00:00:00,if i paid 50 i would give it 5 stars but for one person it was incredibly overpriced and under eaten
134,La Ristrettos,Yes it's a little pricey at $11 but totally worth it.,1,4,2014-12-23T00:00:00,yes it s a little pricey at 11 but totally worth it
135,Long Beach Seafood,"Pretty pricey in my book but then again, Singapore ain't cheap.",1,4,2013-02-17T00:00:00,pretty pricey in my book but then again singapore ain t cheap
136,hans im glÃÂ¼ck,16 SGD for a veggie burger and tap water??!!,1,3,2018-12-17T00:00:00,16 sgd for a veggie burger and tap water
137,Jumbo Seafood,Expensive.,1,1,2015-03-27T00:00:00,expensive
138,DB Bistro Moderne,$44++ is massively overpriced for a burger that would've been beaten in a blind taste test by Shake Shack or Omakase.,1,2,2016-06-11T00:00:00,44 is massively overpriced for a burger that would ve been beaten in a blind taste test by shake shack or omakase
139,Lolla,"As you can read, we ordered tons of dishes but it only costs us $65 per person, including a couple glasses of white wine, tips and taxes.",1,4,2013-08-18T00:00:00,as you can read we ordered tons of dishes but it only costs us 65 per person including a couple glasses of white wine tips and taxes
140,Saveur,It offers a nice selection of tasty dishes at low prices (S$6-15).,1,4,2015-04-01T00:00:00,it offers a nice selection of tasty dishes at low prices s 6 15
141,Violet Oon's Kitchen,"In terms of value, I would say it's pretty pricey.",1,4,2013-03-17T00:00:00,in terms of value i would say it s pretty pricey
142,Hai Di Lao,Even the cheapest ones were of good quality and well-marinated.,1,5,2014-10-03T00:00:00,even the cheapest ones were of good quality and well marinated
143,Aroy Dee,"If you want to have pocket friendly food that comes with generous portion, this can be one of your choices.",1,3,2018-06-18T00:00:00,if you want to have pocket friendly food that comes with generous portion this can be one of your choices
144,Toast Box,Go here and trust you will have a yummy and reasonably priced meal.,1,4,2014-07-22T00:00:00,go here and trust you will have a yummy and reasonably priced meal
145,Spago By Wolfgang Puck,My dinner was excellent though the portions were on the lean side for the price.,1,4,2017-07-09T00:00:00,my dinner was excellent though the portions were on the lean side for the price
146,Soi 19 Thai Wanton Mee,The serving looked quite small.,1,4,2017-03-03T00:00:00,the serving looked quite small
147,Yao Fa Wanton Mee,"its so affordable, you could order 2 servings and be doubly satisfied.",1,5,2013-02-17T00:00:00,its so affordable you could order 2 servings and be doubly satisfied
148,Broadway Food Court,CHEAP EATS GALORE!!!,1,4,2016-02-20T00:00:00,cheap eats galore
149,Fat Cow,"Be prepared to pay through your nose though, but for that special occasion, go for it.",1,5,2015-05-09T00:00:00,be prepared to pay through your nose though but for that special occasion go for it
150,Third & Sixth Bistrobar,"For Singapore prices, reasonably-priced burgers.",1,4,2016-07-13T00:00:00,for singapore prices reasonably priced burgers
151,Ah Ter's Fishball Minced Meat Noodles,A must go-to when you want good value for money yummy food.,1,5,2017-03-22T00:00:00,a must go to when you want good value for money yummy food
152,Artichoke Cafe & Bar,Good on the wallet!,1,5,2018-02-18T00:00:00,good on the wallet
153,Ippudo,Go elsewhere plus the price is ridiculous for suck subpar food.,1,1,2018-01-13T00:00:00,go elsewhere plus the price is ridiculous for suck subpar food
154,Brawn & Brains Coffee,Oh and it's not overpriced in this age of five buck coffees.,1,5,2015-07-20T00:00:00,oh and it s not overpriced in this age of five buck coffees
155,Clinton Street Baking Company & Restaurant,"It looked awful and for $18, I was not happy.",1,3,2016-11-29T00:00:00,it looked awful and for 18 i was not happy
156,Sin Heng Kee Porridge,For the price you pay ($3.50 - $5.00) you would get a big bowl of congee.,1,5,2015-12-19T00:00:00,for the price you pay 3 50 5 00 you would get a big bowl of congee
157,Isle Eating House,"Definitely my choice of cheap eats if I'm near Peace Centre, or before I head to Teo Heng at Hotel Rendezvous.",1,4,2014-12-28T00:00:00,definitely my choice of cheap eats if i m near peace centre or before i head to teo heng at hotel rendezvous
158,Kopi Tiam,"Without the Entertainer 1-for-1 offer, the cost would have been unjustified.",1,3,2018-09-12T00:00:00,without the entertainer 1 for 1 offer the cost would have been unjustified
159,Piedra Negra,The highlight was the guacamole which was assembled table side - unfortunately the portion was a bit on the stingy side,1,3,2015-12-29T00:00:00,the highlight was the guacamole which was assembled table side unfortunately the portion was a bit on the stingy side
160,Hainanese Delicacy Chicken Rice,It's no wonder the folks here are not overweight; the portions are super small to what I'm used to.,1,5,2016-03-06T00:00:00,it s no wonder the folks here are not overweight the portions are super small to what i m used to
161,Hokkaido Ramen Santouka,The portion is quite large though.,1,4,2012-09-08T00:00:00,the portion is quite large though
